Author(s),Year,r,n,Other Info,
Bartley & Robitschek,2000,0.271,162,Men,Composite of Self & Environmental
Bartley & Robitschek,2000,0.248,156,Women,Composite of Self & Environmental
Reed,1999,0.248,186,,Composite of Self & Environmental
"Stumpf, Colarelli, Hartman",1983,-0.018,241,Grad students,Composite of Self & Environmental
"Stumpf, Colarelli, Hartman",1983,0.047,185,Undergrads,Composite of Self & Environmental
"Gamboa, Paixao, & de Jesus",2013,0.138,346,,Composite of Self & Environmental
Bubany,2011,0.153,228,Women,Composite of Self & Environmental
Bubany,2011,0.189,143,Men,Composite of Self & Environmental
Blustein & Phillips,1988,0.22,148,Self Only,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
