Author(s),Year,r,n,Other Info
Nauta,2007,0.024,113,Composite of Self & Environmental
Reed,1999,0.164,186,Composite of Self & Environmental
Zikic,2005,0.077,304,Composite of Self & Environmental
Guan et al.,2017,0.277,222,Composite of Self & Environmental
Hirschi,2009,-0.038,210,Composite of Self & Environmental
"Reed, Bruch, & Haase",2004,0.08,204,Only Self
Rogers & Creed,2011,0.22,631,Averaged T1 & 2
Li et al.,2015,0.22,264,
"Rogers, Creed, & Glendon ",2008,0.21,414,
Hirschi,2012,-0.25,499,Averaged T1 & 2
Tully,2007,0.129,200,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
