Author(s),Year,r,n,Other Info
Nauta,2007,0.183,113,Aggregate of Self & Environmental
Reed,1999,-0.019,186,Aggregate of Self & Environmental
Zikic,2005,0.177,304,Aggregate of Self & Environmental
Guan et al.,2017,0.407,222,Aggregate of Self & Environmental
Hirschi,2009,0.161,210,Aggregate of Self & Environmental
"Reed, Bruch, & Haase",2004,0.23,204,Self Only
Rogers & Creed,2011,0.12,631,Averaged T1 & 2
Li et al.,2015,0.35,264,
"Rogers, Creed, & Glendon ",2008,0.11,414,
Hirschi,2012,0.058,499,Averaged T1 & 2
"Boyce, Zaccaro, & Wisecarver",2010,0.32,327,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
