X,Y,Author(s),Year,r,n
Self Exploration,Environmental Exploration,Bartley,1998,0.34,156
Self Exploration,Environmental Exploration,Bartley,1998,0.42,162
Self Exploration,Environmental Exploration,Blustein,1988,0.42,154
Self Exploration,Environmental Exploration,Blustein & Phillips,1988,0.41,148
Self Exploration,Environmental Exploration,Bubany,2011,0.34,228
Self Exploration,Environmental Exploration,Bubany,2011,0.09,143
Self Exploration,Environmental Exploration,Cai et al.,2015,0.63,305
Self Exploration,Environmental Exploration,Cheung & Arnold,2014,0.511,249
Self Exploration,Environmental Exploration,Colarelli & Stumpf,1990,0.47,164
Self Exploration,Environmental Exploration,"Creed, Macpherson, & Hood",2011,0.45,207
Self Exploration,Environmental Exploration,Downing & Nauta,2010,0.33,285
Self Exploration,Environmental Exploration,"Faria, Pinto, & Vieria",2015,0.41,296
Self Exploration,Environmental Exploration,Felsman & Blustein,1999,0.43,147
Self Exploration,Environmental Exploration,"Gamboa, Paixao, & de Jesus",2013,0.345,346
Self Exploration,Environmental Exploration,Guan et al.,2018,0.38,222
Self Exploration,Environmental Exploration,Hamer & Bruch,1997,0.41,100
Self Exploration,Environmental Exploration,Hirschi,2009,0.521,210
Self Exploration,Environmental Exploration,"Hirschi, Niles, & Akos",2011,0.668,349
Self Exploration,Environmental Exploration,"Horst, Klehe, & Heijden",2017,0.461,3413
Self Exploration,Environmental Exploration,Ketterson ,2000,0.28,159
Self Exploration,Environmental Exploration,Ketterson & Blustein,1997,0.24,137
Self Exploration,Environmental Exploration,"Klehe, Zikic, Van Vianen, & De Pater",2011,0.49,210
Self Exploration,Environmental Exploration,Lent et al.,2017,0.5,324
Self Exploration,Environmental Exploration,Li & Fan,2017,0.52,463
Self Exploration,Environmental Exploration,"Luzzo, James, & Luna",1996,0.53,38
Self Exploration,Environmental Exploration,Moreault,1992,0.452,304
Self Exploration,Environmental Exploration,Nauta,2007,0.11,113
Self Exploration,Environmental Exploration,Noe,1996,0.49,54
Self Exploration,Environmental Exploration,Noe & Steffy,1987,0.23,98
Self Exploration,Environmental Exploration,"Owens, Motl, & Krieshok",2016,0.54,82
Self Exploration,Environmental Exploration,Paixao & Gamboa,2017,0.4,396
Self Exploration,Environmental Exploration,Robitschek & Cook,1999,0.36,107
Self Exploration,Environmental Exploration,Robitschek & Cook,1999,0.27,98
Self Exploration,Environmental Exploration,"Saks, Zikic, & Koen",2015,0.52,795
Self Exploration,Environmental Exploration,Schneider,2011,0.12,155
Self Exploration,Environmental Exploration,"Stumpf, Austin, & Hartman",1984,0.46,78
Self Exploration,Environmental Exploration,"Stumpf, Colarelli, & Hartman",1983,0.42,241
Self Exploration,Environmental Exploration,"Stumpf, Colarelli, & Hartman",1983,0.41,185
Self Exploration,Environmental Exploration,Tully,2007,0.27,200
Self Exploration,Environmental Exploration,Werbel,2000,0.51,129
Self Exploration,Environmental Exploration,Xu & Tracey,2017,0.51,248
Self Exploration,Environmental Exploration,"Xu, Hou, & Tracey",2014,0.47,911
Self Exploration,Environmental Exploration,Zikic,2005,0.27,304
Self Exploration,Environmental Exploration,Zikic & Saks,2009,0.51,415
